Gene	proba_m1	proba_m2	bayes_factor	scale1	scale2	raw_mean1	raw_mean2	non_zeros_proportion1	non_zeros_proportion2	raw_normalized_mean1	raw_normalized_mean2	comparison	group1	group2
AC007461.1	0.3142	0.6858	-0.7805562969619484	5.665152e-06	1.6823751e-05	0.0018098687	0.0028161968	0.0014288435892550965	0.0018431627550137453	0.008111591	0.0163845	2 vs Rest	2	Rest
GRM1	0.314	0.6859999999999999	-0.7814846245477578	2.461791e-05	8.3657396e-05	0.010954471	0.13715756	0.008573061535530566	0.06076355590068	0.04661177	0.46097326	2 vs Rest	2	Rest
SLC38A5	0.314	0.6859999999999999	-0.7814846245477578	9.102029e-06	1.7539403e-05	0.016955623	0.029145304	0.015812535721089708	0.021065385497022367	0.07361702	0.17600355	2 vs Rest	2	Rest
LINC00922	0.3138	0.6861999999999999	-0.7824132728309967	5.149474e-06	1.1940073e-05	0.0029529429	0.003751804	0.0027624309392265184	0.0025401963857169213	0.014261689	0.018333914	2 vs Rest	2	Rest
SLC6A1	0.3138	0.6861999999999999	-0.7824132728309967	2.653013e-05	8.134239e-05	0.027433774	0.15763927	0.02429034101733675	0.10069563020730712	0.11348106	0.78202194	2 vs Rest	2	Rest
CEP55	0.3136	0.6864	-0.7833422423785097	3.38812e-05	7.0186405e-05	0.06305951	0.18198329	0.032291865117165384	0.09183535036466928	0.2954423	0.76694494	2 vs Rest	2	Rest
IL12RB2	0.3136	0.6864	-0.7833422423785097	2.431222e-05	4.017982e-05	0.014574215	0.016396627	0.011811773671175444	0.013042481626847697	0.0697809	0.11940915	2 vs Rest	2	Rest
MAEL	0.313	0.687	-0.7861310842893556	1.11175295e-05	4.638426e-05	0.004286529	0.013164011	0.0038102495713469202	0.009880100859362733	0.017088829	0.08263573	2 vs Rest	2	Rest
EYA4	0.3128	0.6872	-0.787061344581385	9.76939e-06	3.0523486e-05	0.00647742	0.015025872	0.005810630596304051	0.01040404560190462	0.028814958	0.08189357	2 vs Rest	2	Rest
AC093515.1	0.3122	0.6878	-0.7898540724251955	1.4157401e-05	3.0435476e-05	0.005715371	0.01315933	0.005143836921318341	0.009482464224397908	0.02567602	0.058607772	2 vs Rest	2	Rest
TLN2	0.3118	0.6881999999999999	-0.7917175191985228	0.00020053709	0.00037351143	0.19175236	0.7656495	0.12497618594018198	0.31465688636485106	0.8104391	3.6120481	2 vs Rest	2	Rest
TMTC1	0.3114	0.6886	-0.7935822739137071	0.0002612682	0.0004930342	0.2985355	0.73590523	0.15936368832158476	0.29650594349814735	1.2166381	4.0218825	2 vs Rest	2	Rest
